read_index,basename,mean_mapq,median_mapq,n_chromosomes,order,n_bins,read_length_bp,genes,n_genes
1770720,batch04,60.0,60.0,1,4,2,1076,,0
1770752,batch04,44.666666666666664,60.0,1,3,2,905,,0
1770754,batch04,33.333333333333336,38.0,1,3,2,912,Ptprd,1
1770769,batch03,48.0,48.0,2,2,2,481,Gm7195;5730507C01Rik,2
1770881,batch01,60.0,60.0,2,2,2,644,,0
1770916,batch03,48.0,60.0,1,4,2,991,,0
1770937,batch01,40.333333333333336,60.0,3,3,3,1047,Grik2,1
1770949,batch04,60.0,60.0,1,4,2,1036,,0
1770975,batch01,43.75,45.5,1,4,2,814,,0
1771045,batch04,56.714285714285715,60.0,1,7,2,2168,,0
1771177,batch03,54.6,60.0,2,5,2,1172,,0
1771530,batch03,19.666666666666668,2.0,1,3,2,862,,0
1771805,batch03,60.0,60.0,2,2,2,711,Epha6,1
1771883,batch03,50.0,60.0,1,3,2,1016,Gm41244,1
1772156,batch04,54.6,60.0,1,5,2,1288,Gm40604;Gm47712,2
1772259,batch03,58.0,60.0,1,5,2,867,Pcdh7,1
1772266,batch01,60.0,60.0,1,3,2,944,,0
1772402,batch04,41.333333333333336,35.0,2,3,3,640,Astn2,1
1772503,batch01,42.666666666666664,60.0,1,3,3,930,Grik2,1
1772542,batch01,48.0,60.0,2,4,3,1407,,0
1772547,batch03,60.0,60.0,1,2,2,649,,0
1772704,batch04,52.0,60.0,2,4,2,750,,0
1772918,batch04,46.666666666666664,60.0,2,6,4,1789,,0
1773152,batch01,60.0,60.0,1,3,2,886,B230209E15Rik,1
1773623,batch04,50.714285714285715,60.0,1,7,3,2241,4930405D01Rik;Alcam,2
1773946,batch01,60.0,60.0,1,3,2,932,Astn2,1
1774342,batch03,59.8,60.0,1,5,2,1068,Lrrc4c,1
1774493,batch03,51.333333333333336,60.0,1,3,2,913,,0
1775290,batch04,60.0,60.0,2,6,3,1533,,0
1775306,batch04,0.0,0.0,1,3,3,645,,0
1775336,batch04,0.0,0.0,1,3,3,1459,,0
1775375,batch04,2.4285714285714284,1.0,1,7,4,1543,,0
1775430,batch01,52.0,60.0,1,4,2,1035,,0
1775835,batch04,21.833333333333332,5.5,1,6,4,1611,Btbd35f24;Btbd35f19,2
1775881,batch03,39.5,39.5,1,2,2,642,,0
1776030,batch04,24.6,1.0,1,5,2,1586,Cdh20,1
1776256,batch04,40.333333333333336,60.0,2,3,2,853,Fat3,1
1776690,batch01,33.666666666666664,31.0,2,3,2,632,,0
1776709,batch03,0.5,0.5,1,2,2,738,,0
1777088,batch01,60.0,60.0,1,3,2,939,Pcdh7,1
1777303,batch01,57.25,60.0,2,4,2,976,Sorcs1,1
1777340,batch01,48.2,60.0,2,5,5,1290,Chl1;Cadm2,2
1777608,batch03,26.0,25.5,3,4,4,1055,Chl1,1
1777665,batch01,41.333333333333336,60.0,2,3,3,687,Dcc;Astn2,2
1777739,batch01,37.6,60.0,3,5,4,1019,Chl1,1
1778028,batch01,47.0,60.0,3,4,3,852,Grm5,1
1778470,batch01,41.75,58.5,1,8,2,1293,,0
1778631,batch01,52.333333333333336,60.0,2,3,2,897,,0
1778650,batch01,30.25,30.0,2,4,3,855,Gm49841,1
1779144,batch04,60.0,60.0,1,3,2,938,,0
1779924,batch01,36.833333333333336,48.5,2,6,3,1225,Cdh12;Gm49685,2
1780448,batch01,48.9375,60.0,1,16,2,2430,,0
1780643,batch04,30.5,30.5,1,2,2,813,,0
1780665,batch01,40.333333333333336,60.0,2,3,3,895,,0
1780721,batch03,60.0,60.0,1,2,2,775,Dpp10,1
1781123,batch03,60.0,60.0,1,3,3,1323,,0
1781127,batch03,59.0,60.0,1,4,2,862,Cadm2,1
1781175,batch04,50.5,60.0,1,4,2,1077,,0
1781742,batch04,60.0,60.0,1,2,2,878,,0
1782637,batch04,21.5,13.0,1,4,3,1013,,0
1783072,batch04,43.0,60.0,1,3,2,766,Gm29051,1
1783109,batch03,49.0,60.0,1,3,2,1160,,0
1783620,batch04,40.333333333333336,60.0,3,3,3,1251,6430553K19Rik;Gm48779;Gm37042,3
1784215,batch03,45.25,60.0,1,4,3,1050,,0
1784363,batch04,30.0,30.0,1,4,3,957,,0
1784442,batch01,60.0,60.0,1,7,2,2016,Cadm2,1
1784448,batch03,60.0,60.0,1,2,2,777,,0
1784984,batch04,19.4,0.0,2,5,4,1211,,0
1784994,batch04,60.0,60.0,2,2,2,958,,0
1785015,batch04,4.0,1.0,3,8,4,1752,,0
1785066,batch03,56.5,60.0,1,4,2,852,,0
1785082,batch01,9.0,0.0,1,3,2,821,,0
1785105,batch01,60.0,60.0,1,3,2,1009,,0
1785388,batch03,45.25,60.0,2,4,4,1149,Cntnap5a;Dpp10,2
1785671,batch04,60.0,60.0,1,2,2,575,Zfp804b,1
1786871,batch04,60.0,60.0,1,4,2,950,,0
1787283,batch01,49.666666666666664,60.0,2,3,3,777,,0
1787403,batch04,60.0,60.0,1,2,2,604,Csmd3,1
1787437,batch04,59.0,60.0,1,4,2,890,,0
1787647,batch04,54.0,60.0,1,3,2,880,,0
1787682,batch02,52.666666666666664,60.0,1,6,3,1368,,0
1787790,batch04,47.5,60.0,3,6,3,2016,Cdh12;Gm49685,2
1787815,batch03,60.0,60.0,1,3,2,1138,,0
1787825,batch04,27.2,14.0,1,5,4,1089,Shroom4,1
1788220,batch03,24.625,20.5,4,8,6,1846,Chl1,1
1788397,batch04,45.5,60.0,3,4,3,992,,0
1788520,batch04,24.0,12.0,3,3,3,648,Acss3,1
1788906,batch04,40.0,60.0,1,3,2,1001,Gm12883,1
1789271,batch04,43.5,43.5,1,2,2,554,,0
1789481,batch01,6.5,6.5,1,2,2,485,,0
1789552,batch04,28.0,23.5,2,6,5,1728,Ddx3x;Xiap,2
1789562,batch04,45.25,60.0,1,4,2,841,,0
1789602,batch01,60.0,60.0,2,4,2,1161,,0
1789904,batch03,40.333333333333336,60.0,2,3,3,1044,,0
1790050,batch01,60.0,60.0,1,3,2,1049,,0
1790307,batch04,39.0,39.0,1,4,2,1125,Elavl4,1
1790593,batch03,42.333333333333336,45.5,1,6,2,1333,Tspyl-ps;Gm7754,2
1791187,batch03,60.0,60.0,1,2,2,726,Gm24232,1
1791298,batch03,60.0,60.0,1,4,2,937,Zfp804b,1
1791312,batch04,40.0,60.0,1,3,2,876,,0
1791491,batch01,39.833333333333336,53.5,1,6,2,1153,Grik2,1
1791497,batch04,51.77777777777778,60.0,2,9,2,1846,Gm29461,1
1791582,batch04,60.0,60.0,2,2,2,554,,0
1791606,batch04,37.0,56.0,5,12,5,3068,,0
1792113,batch04,30.5,30.5,1,2,2,762,,0
1792304,batch04,35.2,31.0,3,5,3,1017,,0
1792396,batch04,60.0,60.0,1,2,2,680,,0
1792739,batch04,15.25,0.5,1,4,4,903,Btbd35f2,1
1792791,batch03,2.0,1.0,2,4,3,1458,Cpq,1
1793226,batch04,60.0,60.0,2,2,2,676,,0
1793449,batch04,60.0,60.0,1,3,2,848,Lrrc4c,1
1793833,batch04,60.0,60.0,1,2,2,633,,0
1795040,batch02,28.0,25.5,3,4,3,925,Cdh10,1
1795255,batch01,34.4,35.0,2,5,3,1061,Cblb,1
1795532,batch01,48.75,60.0,2,4,2,844,Zfp804b;Dpp10,2
1795569,batch04,57.5,60.0,1,4,2,1245,,0
1795884,batch03,60.0,60.0,2,3,2,989,Cdh10;Zfp804b,2
1795921,batch03,57.125,60.0,1,8,2,2246,,0
1795947,batch03,60.0,60.0,1,7,3,1758,Gm19589,1
1796025,batch01,24.0,11.0,1,3,3,721,Cntnap5a,1
1796302,batch02,47.0,60.0,1,3,2,711,,0
1796540,batch04,47.142857142857146,60.0,2,7,3,1936,,0
1796575,batch01,37.875,60.0,2,8,2,1666,,0
1796643,batch04,60.0,60.0,1,2,2,1317,,0
1796722,batch01,59.5,59.5,1,2,2,534,,0
