read_index,basename,mean_mapq,median_mapq,n_chromosomes,order,n_bins,read_length_bp,genes,n_genes
2145867,batch03,47.57142857142857,60.0,1,7,2,1246,Gm44785;Nalf1,2
2145876,batch04,35.5,35.5,2,2,2,1402,Nup210;Usp38,2
2145877,batch02,60.0,60.0,1,3,2,898,Agpat5;Csmd1,2
2145915,batch01,60.0,60.0,2,5,2,964,Eif4e3;Gm20696;Banp,3
2145939,batch03,60.0,60.0,1,2,2,753,Trappc2l;Jph3,2
2145950,batch01,32.0,32.0,1,3,2,594,Csmd1,1
2145996,batch01,40.333333333333336,60.0,2,3,3,534,,0
2146099,batch04,50.0,50.0,1,2,2,456,,0
2146134,batch01,60.0,60.0,2,3,3,554,,0
2146156,batch01,52.0,52.0,2,2,2,420,Ankrd11,1
2146432,batch04,60.0,60.0,1,3,2,726,Dgki,1
2146608,batch04,60.0,60.0,1,6,3,1243,Palld,1
2146949,batch01,37.2,60.0,3,5,3,1040,Itpr2;2610020C07Rik;Gspt1,3
2147186,batch04,48.2,60.0,2,5,3,1151,Wdr17,1
2147557,batch04,33.0,33.0,2,2,2,389,Shank2,1
2147734,batch01,45.833333333333336,55.5,1,6,3,1401,Helz,1
2148254,batch01,60.0,60.0,1,2,2,518,Gm43439,1
2148269,batch01,60.0,60.0,2,2,2,626,,0
2148295,batch04,60.0,60.0,2,2,2,584,Brip1os,1
2148317,batch01,40.333333333333336,60.0,1,3,2,623,,0
2148424,batch04,16.181818181818183,1.0,4,11,4,2430,Pik3ca,1
2148754,batch04,52.833333333333336,60.0,1,6,2,1421,Ubxn8;Tex15,2
2148941,batch03,26.0,26.5,1,6,2,1092,Cyp3a59;Cyp3a25,2
2148949,batch04,60.0,60.0,1,3,2,1010,Cpa4,1
2148962,batch01,42.666666666666664,60.0,3,3,3,637,Adamts9,1
2148971,batch03,43.333333333333336,60.0,2,3,2,749,Frmd4b,1
2148978,batch03,60.0,60.0,2,4,2,940,Tom1l2;Prickle2;Gid4,3
2149040,batch04,38.333333333333336,44.0,2,6,4,1232,Rad18;Tex52,2
2149118,batch03,43.8,60.0,2,5,3,1186,Slc6a11;Nfe2l3,2
2149205,batch04,54.8,60.0,1,5,3,1024,Agbl3;Iqsec1;Chchd6,3
2149401,batch03,60.0,60.0,1,2,2,562,Pparg,1
2149425,batch01,20.666666666666668,13.0,1,3,2,578,Gm51425;Dynlt2a3;Gm6712,3
2149428,batch01,44.0,60.0,2,3,3,1026,Foxp1;Gm44196,2
2149552,batch04,60.0,60.0,1,4,2,917,D6Ertd474e,1
2149583,batch01,49.75,60.0,1,4,2,897,Anapc10;Gab1,2
2149593,batch01,60.0,60.0,1,4,3,1063,,0
2149658,batch01,41.333333333333336,60.0,1,3,2,508,,0
2149874,batch01,60.0,60.0,2,3,2,580,4930599N23Rik;C5ar1,2
2149891,batch04,46.625,60.0,1,8,2,1446,,0
2150095,batch03,43.785714285714285,60.0,2,14,2,2243,Tnik;Tet3,2
2150098,batch04,60.0,60.0,1,2,2,566,St6galnac3;Ptgfrn,2
2150131,batch01,40.333333333333336,60.0,2,3,3,831,,0
2150152,batch04,42.5,52.0,2,4,3,1048,Gm3985;Them4,2
2150186,batch01,43.0,43.0,2,2,2,511,Alg5;Tmtc1,2
2150218,batch04,54.8,60.0,2,5,3,1098,Wnt2b;Tuft1;Slc16a1;Cfap97,4
2150721,batch04,54.142857142857146,60.0,1,7,2,2337,Fbxw11,1
2150778,batch01,32.5,32.5,2,2,2,1116,A530053G22Rik,1
2150928,batch01,60.0,60.0,2,2,2,537,Ranbp17;Schip1,2
2151066,batch01,33.5,36.5,2,4,3,1139,Myo16;Nrg1,2
2151078,batch03,60.0,60.0,1,3,2,820,Mtus1,1
2151083,batch04,38.5,41.0,1,4,3,1205,Nod2;Ccdc7a,2
2151085,batch01,60.0,60.0,1,3,2,773,Pard3,1
2151131,batch03,47.333333333333336,60.0,2,3,2,689,Snx25;Bltp2,2
2151137,batch01,32.5,32.5,2,2,2,702,Arhgef10,1
2151156,batch04,50.333333333333336,60.0,1,3,3,711,Gm35850,1
2151200,batch03,60.0,60.0,1,2,2,482,Gm26815;Crispld2,2
2151560,batch02,60.0,60.0,2,2,2,676,,0
2151708,batch04,40.333333333333336,60.0,1,3,2,785,Sox5,1
2152150,batch04,32.0,31.0,2,3,2,599,,0
2152306,batch03,60.0,60.0,1,2,2,616,Gm3455,1
2152473,batch04,45.5,45.5,1,2,2,440,Gm5879,1
2152527,batch03,54.25,60.0,1,4,3,866,Gm16675;Kcnk1;Acsl1,3
2152551,batch03,41.0,60.0,1,5,2,904,Gm3455,1
2152622,batch04,60.0,60.0,2,2,2,578,,0
2152624,batch01,6.5,6.5,1,2,2,596,,0
2152658,batch04,45.5,45.5,2,2,2,383,Rph3a,1
2152660,batch04,46.333333333333336,60.0,1,3,2,1208,,0
2152792,batch01,56.0,60.0,1,6,3,1216,Chl1,1
2152795,batch02,60.0,60.0,1,2,2,716,,0
2152935,batch04,50.0,60.0,3,3,3,855,Pisd,1
2153305,batch04,57.6,60.0,1,5,3,1224,Tbc1d9;Elmod2;Otud4,3
2153306,batch04,41.333333333333336,60.0,1,3,2,912,Fnta,1
2153321,batch04,60.0,60.0,2,2,2,767,Gm31243;Gcsh,2
2153333,batch04,58.5,60.0,1,4,2,1014,Wwox;Ank1,2
2153335,batch01,48.5,60.0,1,4,2,786,Wdr17,1
2153356,batch04,55.666666666666664,60.0,1,3,2,892,Fanca;Ankrd11,2
2153365,batch04,53.6,60.0,1,5,3,1129,Hhip;Ccdc7b,2
2153392,batch03,30.5,30.5,1,2,2,405,Plcg2;Crispld2,2
2153424,batch04,49.666666666666664,60.0,1,3,2,835,,0
2153509,batch01,60.0,60.0,1,3,2,851,Usp43;Glp2r,2
2153558,batch01,46.0,60.0,1,4,2,1046,Il4,1
2153561,batch04,60.0,60.0,1,3,2,753,Gemin5,1
